GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ADQ001,ADZ001,AD9001,AEW001,AEW002,AEW003,AEW004,AEW005,AEW006,AE6001,AE6002,AE6003,ADR001,ADR002,ADS001,ADU001,ADV001,ADV002,ADX001,AD0001,AD0002,AD0003,AD1001,AD1002,AD1003,AD1004,AD1005,AD1006,AD4001,AD4002,AD4003,AD4004,AD5001,AD5002,AD6001,AD6002,AEM001,AEM002,AET001,AET002,AET003,AET004,AET005,AET006,AET007,AET008,AET009,AET010,AET011,AET012,AET013,AET014,AET015,AET016,AET017,AET018,AET019,AET020,AET021,AET022,AET023,AE0001,AE0002,AE0003,AE0004,AE0005,AE0006,AE0007,AE0008,AE0009,AE0010,AE0011,AE0012,AE0013,AE0014,AE0015,AE0016,AE0017,AE0018,AE0019,AE0020,AE0021,AE0022,AE0023,AE0024,AE0025,AE0026,AE0027,AE0028,AE0029,AE0030,AE1001,AE1002,AE2001,AE2002,AE2003,AE2004,AE2005,AE2006,AE2007,AE2008,AE2009,AE2010,AE2011,AE2012,AE2013,AE2014,AE2015,AE4001,AE5001
"G0100910","1850","Alabama","010","Marengo","0910","Marengo",27831,0,0,3829,3272,18,19,10690,10003,7101,37,20693,165,387,552,,93,272,1353,0,21,5,0,0,21,376,13,212,617,493,0,0,1110,0,1110,0,2711,132,9,0,,,,1,0,,,,0,,10,,6,,0,,,1,0,0,0,288,2116,2012,1830,1512,2784,1870,1045,591,352,99,29,7,2,0,266,2045,1951,1565,1508,2534,1651,913,495,256,80,22,7,1,0,14537,13294,554,4161,3963,3395,3020,5318,3521,1958,1086,608,179,51,14,3,0,1,0
"G0100930","1850","Alabama","010","Marion","0930","Marion",7833,0,0,3510,3412,2,1,442,466,6922,3,908,205,26,231,,78,8,1108,0,3,0,0,0,3,63,0,0,522,418,0,0,940,0,940,0,2706,6,0,0,,,,0,0,,,,0,,0,,0,,0,,,0,0,0,0,121,622,699,575,435,640,359,207,160,87,40,4,3,1,1,110,614,670,542,448,702,333,215,133,68,32,8,3,0,1,3954,3879,231,1236,1369,1117,883,1342,692,422,293,155,72,12,6,1,2,0,0
"G0100950","1850","Alabama","010","Marshall","0950","Marshall",8846,0,0,4018,3934,13,13,422,446,7952,26,868,340,37,377,,107,6,1301,0,20,0,0,0,21,429,0,0,744,578,1,0,1322,1,1323,0,3192,24,3,0,,,,0,0,,,,0,,6,,2,,0,,,0,0,0,0,193,622,764,643,539,716,413,248,194,79,30,10,2,0,0,185,588,697,620,562,741,457,275,145,80,31,10,2,0,0,4453,4393,378,1210,1461,1263,1101,1457,870,523,339,159,61,20,4,0,0,1,0
"G0100970","1850","Alabama","010","Mobile","0970","Mobile",27600,20515,0,9479,7824,396,545,4619,4737,17303,941,9356,544,98,642,,529,193,3027,1,34,8,32,175,57,1774,69,718,1255,992,21,32,2247,53,2201,99,5444,4935,3,0,,,,2,0,,,,0,,4,,3,,4,,,0,1,0,3,324,1442,1626,1468,1114,3067,2932,1489,643,247,92,33,9,6,2,335,1543,1647,1534,1387,2666,1955,1054,554,264,99,39,15,13,1,14494,13106,659,2985,3273,3002,2501,5733,4887,2543,1197,511,191,72,24,19,3,1,0
"G0100990","1850","Alabama","010","Monroe","0990","Monroe",12013,0,0,2934,2714,21,19,3119,3206,5648,40,6325,205,198,403,,94,105,1005,0,8,2,0,0,8,167,4,90,487,340,0,0,827,0,827,0,1596,54,10,0,,,,0,1,,,,1,,10,,3,,0,,,1,0,0,0,194,778,938,875,642,1021,713,394,281,162,54,10,11,0,1,209,785,900,821,638,1024,684,413,272,130,41,17,4,0,1,6074,5939,403,1563,1838,1696,1280,2045,1397,807,553,292,95,27,15,0,2,1,0
"G0101010","1850","Alabama","010","Montgomery","1010","Montgomery",29711,8728,0,5448,4721,47,68,9817,9610,10169,115,19427,255,347,602,,172,417,1881,0,16,3,0,0,20,366,12,264,904,744,0,0,1648,0,1648,0,4567,367,7,0,,,,1,0,,,,0,,10,,1,,1,,,0,0,0,0,315,1981,2106,1987,1586,2988,2001,1154,687,348,117,29,9,4,0,296,1927,2100,1783,1729,2721,1693,1079,624,315,98,22,7,5,0,15312,14399,611,3908,4206,3770,3315,5709,3694,2233,1311,663,215,51,16,9,0,1,1
"G0101030","1850","Alabama","010","Morgan","1030","Morgan",10125,0,0,3319,3318,28,23,1724,1713,6637,51,3437,162,101,263,,92,71,1103,0,9,1,0,0,9,172,1,30,406,304,0,0,710,0,710,0,2238,23,12,2,,,,0,0,,,,0,,15,,3,,0,,,0,0,0,0,133,695,816,765,650,773,477,356,203,131,51,18,2,1,0,130,647,832,715,619,870,550,331,189,110,41,18,2,0,0,5071,5054,263,1342,1648,1480,1269,1643,1027,687,392,241,92,36,4,1,0,1,1
"G0101050","1850","Alabama","010","Perry","1050","Perry",22285,0,0,4260,4082,15,11,7113,6804,8342,26,13917,202,342,544,,42,176,1332,1,26,6,5,115,26,714,31,548,791,751,0,0,1542,0,1542,0,3064,104,7,1,,,,2,0,,,,0,,6,,4,,0,,,0,0,0,0,264,1609,1621,1474,1197,2206,1472,787,441,222,63,18,8,6,0,280,1611,1687,1585,1268,1934,1207,678,374,196,56,16,1,4,0,11388,10897,544,3220,3308,3059,2465,4140,2679,1465,815,418,119,34,9,10,0,0,0
"G0101070","1850","Alabama","010","Pickens","1070","Pickens",21512,0,0,5634,5338,4,2,5323,5211,10972,6,10534,284,241,525,,138,185,1896,0,34,7,0,0,34,718,13,336,1250,774,0,0,2024,0,2024,0,4737,94,21,0,,,,0,0,,,,0,,14,,9,,0,,,0,0,0,0,245,1505,1714,1507,1311,1982,1218,722,434,212,92,15,3,1,0,280,1489,1731,1478,1245,1913,1074,668,403,181,66,15,5,2,1,10961,10551,525,2994,3445,2985,2556,3895,2292,1390,837,393,158,30,8,3,1,0,0
"G0101090","1850","Alabama","010","Pike","1090","Pike",15920,0,0,6181,5921,12,12,1882,1912,12102,24,3794,317,64,381,,107,38,1973,0,24,4,0,0,24,498,6,195,1029,802,2,0,1831,2,1833,0,5525,32,15,0,,,,0,0,,,,0,,13,,0,,0,,,0,0,0,0,183,1226,1392,1156,911,1348,786,469,350,168,64,13,5,4,0,199,1225,1399,1139,828,1387,674,500,291,137,48,13,5,0,0,8075,7845,382,2451,2791,2295,1739,2735,1460,969,641,305,112,26,10,4,0,0,0
