source,target,weight
"Chapman, Maria Weston","Laugel, Elizabeth Bates Chapman",12
"Chapman, Maria Weston","Laugel, Leonce",1
"Chapman, Maria Weston","Loring, Anna",1
"Chapman, Maria Weston","Loring, Louisa Gilman",3
"Chapman, Maria Weston","M'Kim, J. Miller",7
"Chapman, Maria Weston",Mary,1
"Chapman, Maria Weston","May, Samuel",18
"Chapman, Maria Weston","Michell, Emma",1
"Chapman, Maria Weston","Mott, Lucretia",1
"Chapman, Maria Weston","Nichol, Elizabeth Pease",34
"Chapman, Maria Weston","Osgood, James R.",1
"Chapman, Maria Weston","Parker, Mary S.",1
"Chapman, Maria Weston","Parker, Theodore",1
"Chapman, Maria Weston","Phelps, Amos A.",2
"Chapman, Maria Weston","Pillsbury, Parker",1
"Chapman, Maria Weston","Pugh, Sarah",1
"Chapman, Maria Weston","Purvis, Robert",2
"Chapman, Maria Weston","Quincy, Edmund",1
"Chapman, Maria Weston","Steinthal, S. Alfred",1
"Chapman, Maria Weston","Sumner, Charles",1
"Chapman, Maria Weston","Torrey, Charles T.",2
"Chapman, Maria Weston","Webb, Richard Davis",3
"Chapman, Maria Weston","Weston, Ann Bates",2
"Chapman, Maria Weston","Weston, Anne Warren",16
"Chapman, Maria Weston","Weston, Caroline",18
"Chapman, Maria Weston","Weston, Deborah",37
"Chapman, Maria Weston","Weston, Lucia",3
"Chapman, Maria Weston","Weston, Mary",2
"Chapman, Maria Weston","White, William Abijah",1
"Chapman, Maria Weston","Whitelegge, Rebecca",1
"Chapman, Maria Weston","Wilberforce, Samuel",1
"Chapman, Maria Weston","Wright, Elizur",2
"Chapman, Maria Weston","Wright, Henry Clarke",2
"Chapman, Mary Gray","Chapman, Maria Weston",7
"Chapman, Mary Gray","Garrison, William Lloyd",4
"Chapman, Mary Gray","May, Samuel",1
"Chapman, Mary Gray","Weston, Anne Warren",1
"Chapman, Mary Gray","Weston, Caroline",2
"Chapman, Mary Gray","Weston, Deborah",3
"Chapman, William R.","Chapman, Maria Weston",1
"Chase, B. A.","Garrison, William Lloyd",2
"Chase, Benjamin","Garrison, William Lloyd",2
"Chase, M. E.","Chapman, Maria Weston",2
"Cheever, George Barrell","Phillips, Wendell",1
"Cheever, George F.","Garrison, William Lloyd",1
"Cheever, Henry T.","Garrison, William Lloyd",1
"Cheney, Ednah Dow Littlehale","Garrison, William Lloyd",1
"Cheney, Ira.","Garrison, William Lloyd",1
"Chesson, F. W.","Chapman, Maria Weston",1
"Chesson, F. W.","Garrison, William Lloyd",14
"Chesson, F. W.","May, Samuel",1
